n,Name,Source,HDMB,PubChem CID:,SMILES,Formula,
1,"1,8-diaminonaphtalene",Veronika,,68067,C1=CC2=C(C(=C1)N)C(=CC=C2)N,C10H10N2,
2,"2,5-dihydroxybenzoic acid",Veronika,,3469,C1=CC(=C(C=C1O)C(=O)O)O,C7H6O4,
3,9-aminoacridine,Veronika,,7019,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)N,C13H10N2,
4,Adenosine,Veronika,HMDB0000050,,,,
5,ADP,Veronika,HMDB0001341,,,,
6,Alpha-ketoglutaric acid,Veronika,HMDB0000208,,,,
7,AMP,Veronika,HMDB0000045,,,,
8,Arabinose,Veronika,HMDB0000646,,,,
9,Arginine,Veronika,HMDB0000517,,,,
10,Ascorbic acid,Veronika,HMDB0000044,,,,
11,ATP,Veronika,HMDB0000538,,,,
12,Biotin,Veronika,HMDB0000030,,,,
13,Caffeine,Veronika,HMDB0001847,,,,
14,Citric acid,Veronika,HMDB0000094,,,,
15,Citrulline,Veronika,HMDB0000904,,,,
16,Creatinine,Veronika,HMDB0000562,,,,
17,Cysteine,Veronika,HMDB0000574,,,,
18,Cystine,Veronika,HMDB0000192,,,,
19,Cytosine,Veronika,HMDB0000630,,,,
20,Fluorescin,Veronika,HMDB0014831,,,,
21,Folic acid,Veronika,HMDB0000121,,,,
22,"Fructose-1,6-bisphosphate",Veronika,HMDB0060444,,,,
23,GABA,Veronika,HMDB0000112,,,,
24,Glucosamine-6-phosphate,Veronika,HMDB0001254,,,,
25,Glucose,Veronika,HMDB0000122,,,,
26,Glucose-6-phosphate,Veronika,HMDB0001401,,,,
27,Glutamic acid,Veronika,HMDB0000148,,,,
28,Glutamine,Veronika,HMDB0000641,,,,
29,Glutaric acid,Veronika,HMDB0000661,,,,
30,Hippuric acid,Veronika,HMDB0000714,,,,
31,Indolacetic acid,Veronika,HMDB0004096,,,,
32,Itaconic acid,Veronika,HMDB0002092,,,,
33,Lactic acid,Veronika,HMDB0144295,,,,
34,Leucine,Veronika,HMDB0000687,,,,
35,Maltose,Veronika,HMDB0037138,,,,
36,Melatonin,Veronika,HMDB0001389,,,,
37,NAD,Veronika,HMDB0000902,,,,
38,Nicotinamide,Veronika,HMDB0001406,,,,
39,Ornithine,Veronika,HMDB0000214,,,,
40,Oxidised glutathione,Veronika,HMDB0003337,,,,
41,Palmitic acid,Veronika,HMDB0000220,,,,
42,Phenylalanine,Veronika,HMDB0000159,,,,
43,Rhodamine  B,Veronika,HMDB0031786,,,,1
44,Riboflavin,Veronika,HMDB0000244,,,,
45,Spermidine,Veronika,HMDB0001257,,,,
46,Succinic acid,Veronika,HMDB0000254,,,,
47,Taurine,Veronika,HMDB0000251,,,,
48,Uric acid,Veronika,HMDB0000289,,,,
49,1-Methylhistidine,Mayo targeted,HMDB0000001,,,,
50,2-Hydroxyglutaric acid,Mayo targeted,HMDB0059655,,,,
51,3-Methylhistidine,Mayo targeted,HMDB0000479,,,,
52,Acetic acid,Mayo targeted,HMDB0000042,,,,
53,Acetylcarnitine,Mayo targeted,HMDB0000201,,,,
54,Acetylcholine,Mayo targeted,HMDB0000895,,,,
55,Adenosine,Mayo targeted,HMDB0000050,,,,
56,Alanine,Mayo targeted,HMDB0000161,,,,
57,allo-Isoleucine,Mayo targeted,HMDB0000557,,,,
