KEGG,Human Metabolome Database,InChIKey,Score
"C00058","HMDB0000142","BDAGIHXWWSANSR-UHFFFAOYSA-N","1"
"C00033","HMDB0000042","QTBSBXVTEAMEQO-UHFFFAOYSA-N","1"
"C00163","HMDB0000237","XBDQKXXYIPTUBI-UHFFFAOYSA-N","1"
"C00246","HMDB0000039","FERIUCNNQQJTOY-UHFFFAOYSA-N","1"
"C00803","HMDB0000892","NQPDZGIKBAWPEJ-UHFFFAOYSA-N","1"
"C01585","HMDB0000535
HMDB0061883","FUZZWVXGSFPDMH-UHFFFAOYSA-N","1"
"C17714","HMDB0000666","MNWFXJYAOYHMED-UHFFFAOYSA-N","1"
"C06423","HMDB0000482
HMDB0062511","WWZKQHOCKIZLMA-UHFFFAOYSA-N","1"
"C00209","HMDB0002329","MUBZPKHOEPUJKR-UHFFFAOYSA-N","1"
"C00383","HMDB0000691","OFOBLEOULBTSOW-UHFFFAOYSA-N","1"
"C00042","HMDB0000254","KDYFGRWQOYBRFD-UHFFFAOYSA-N","1"
"C00489","HMDB0000661","JFCQEDHGNNZCLN-UHFFFAOYSA-N","1"
"C06104","HMDB0000448","WNLRTRBMVRJNCN-UHFFFAOYSA-N","1"
"C02656","HMDB0000857","WLJVNTCWHIRURA-UHFFFAOYSA-N","1"
"C08278","HMDB0000893","TYFQFVWCELRYAO-UHFFFAOYSA-N","1"
"C00158","HMDB0000094","KRKNYBCHXYNGOX-UHFFFAOYSA-N","1"
"C00311","HMDB0000193","ODBLHEXUDAPZAU-UHFFFAOYSA-N","1"
"C00417","HMDB0000072","GTZCVFVGUGFEME-IWQZZHSRSA-N","1"
"C02341","HMDB0000958","GTZCVFVGUGFEME-HNQUOIGGSA-N","1"
"C00048","HMDB0000119","HHLFWLYXYJOTON-UHFFFAOYSA-N","1"
"C00022","HMDB0000243","LCTONWCANYUPML-UHFFFAOYSA-N","1"
"C00109","HMDB0000005","TYEYBOSBBBHJIV-UHFFFAOYSA-N","1"
"C06255","HMDB0001865","KDVFRMMRZOCFLS-UHFFFAOYSA-N","1"
"C00902","HMDB0001864","XNIHZNNZJHYHLC-UHFFFAOYSA-N","1"
"C00036","HMDB0000223","KHPXUQMNIQBQEV-UHFFFAOYSA-N","1"
"C00026","HMDB0000208","KPGXRSRHYNQIFN-UHFFFAOYSA-N","1"
"C00322","HMDB0000225","FGSBNBBHOZHUBO-UHFFFAOYSA-N","1"
"C16588","No result","HABHUTWTLGRDDU-UHFFFAOYSA-N","1"
"C16589","No result","HAGOOZVJLSSXGZ-UHFFFAOYSA-N","1"
"C00141","HMDB0000019","QHKABHOOEWYVLI-UHFFFAOYSA-N","1"
"C00233","HMDB0000695","BKAJNAXTPSGJCU-UHFFFAOYSA-N","1"
"C00671","No result","JVQYSWDUAOAHFM-BYPYZUCNSA-N","1"
"C00222","HMDB0011111","OAKURXIZZOAYBC-UHFFFAOYSA-N","1"
"C00164","HMDB0000060","WDJHALXBUFZDSR-UHFFFAOYSA-N","1"
"C00232","HMDB0001259","UIUJIQZEACWQSV-UHFFFAOYSA-N","1"
"C00186","HMDB0000190","JVTAAEKCZFNVCJ-REOHCLBHSA-N","1"
"C00149","HMDB0000156","BJEPYKJPYRNKOW-REOHCLBHSA-N","1"
"C01013","HMDB0000700","ALRHLSYJTWAHJZ-UHFFFAOYSA-N","1"
"C01089","HMDB0000011","WHBMMWSBFZVSSR-GSVOUGTGSA-N","1"
"C00989","HMDB0000710","SJZRECIVHVDYJC-UHFFFAOYSA-N","1"
"C00246","HMDB0000039","FERIUCNNQQJTOY-UHFFFAOYSA-N","1"
"C01585","HMDB0000535
HMDB0061883","FUZZWVXGSFPDMH-UHFFFAOYSA-N","1"
"C06423","HMDB0000482
HMDB0062511","WWZKQHOCKIZLMA-UHFFFAOYSA-N","1"
