KEGG,Human Metabolome Database,InChIKey,Score
C16588,No result,HABHUTWTLGRDDU-UHFFFAOYSA-N,1
C16589,No result,HAGOOZVJLSSXGZ-UHFFFAOYSA-N,1
C00671,No result,JVQYSWDUAOAHFM-BYPYZUCNSA-N,1
C01712,No result,ZQPPMHVWECSIRJ-MDZDMXLPSA-N,1
C04685,No result,BGKHCLZFGPIKKU-BGEXMHJYSA-N,1
C05953,No result,MYHXHCUNDDAEOZ-FOSBLDSVSA-N,1
C05954,No result,PRFXRIUZNKLRHM-HKVRTXJWSA-N,1
C00639,No result,PXGPLTODNUVGFL-YNNPMVKQSA-N,1
C05951,No result,YEESKJGWJFYOOK-IJHYULJSSA-N,1
C05952,No result,OTZRAYGBFWZKMX-FRFVZSDQSA-N,1
C05963,No result,XNRNNGPBEPRNAR-VTCRGFIFSA-N,1
C05964,No result,KJYIVXDPWBUJBQ-UHHGALCXSA-N,1
C00577,No result,MNQZXJOMYWMBOU-VKHMYHEASA-N,1
C02426,No result,MNQZXJOMYWMBOU-GSVOUGTGSA-N,1
C06463,No result,FMAORJIQYMIRHF-BCDHYOAOSA-N,1
C00216,No result,SRBFZHDQGSBBOR-ZRMNMSDTSA-N,1
C01510,No result,HMFHBZSHGGEWLO-CZBDKTQLSA-N,1
C00476,No result,SRBFZHDQGSBBOR-AGQMPKSLSA-N,1
C01508,No result,SRBFZHDQGSBBOR-AEQNFAKKSA-N,1
C00124,No result,WQZGKKKJIJFFOK-SVZMEOIVSA-N,1
C01825,No result,WQZGKKKJIJFFOK-DHVFOXMCSA-N,1
C01487,No result,WQZGKKKJIJFFOK-IVMDWMLBSA-N,1
C06464,No result,WQZGKKKJIJFFOK-RSVSWTKNSA-N,1
C06465,No result,WQZGKKKJIJFFOK-CBPJZXOFSA-N,1
C06466,No result,WQZGKKKJIJFFOK-YIDFTEPTSA-N,1
C06467,No result,WQZGKKKJIJFFOK-WHZQZERISA-N,1
C06474,No result,WZYRMLAWNVOIEX-BGPJRJDNSA-N,1
C06478,No result,WZYRMLAWNVOIEX-SLPGGIOYSA-N,1
C02022,No result,UQPHVQVXLPRNCX-GSVOUGTGSA-N,1
C00309,No result,LQXVFWRQNMEDEE-ZZKAVYKESA-N,1
