PLATE,NROW,NCOL,CNAME,SMILES,FORMULA,MW (as put into the well),Formula (as seen in MS),Neutral mass,M+H,M-H,CHARGE,PARENT_CID(KEGG),CAS,CHEBI,HMDB,PC_CID,PC_SID,METLIN_ID
1,A,1,NAD,O=P([O-])(OP(O)(OCC1C(O)C(O)C(N2C=NC3=C2N=CN=C3N)O1)=O)OCC(O4)C(O)C(O)C4[N+]5=CC=CC(C(N)=O)=C5,C21H27N7O14P2,663.10912,C21H27N7O14P2,663.10912,664.11692,662.10132,,C00003,53-84-9,15846,HMDB00902,5893,3305,101
1,A,2,L-GLUTAMINE,C(CC(=O)N)C(C(=O)O)N,C5H10N2O3,146.06914,C5H10N2O3,146.06914,147.07694,145.06134,,C00303,56-85-9,18050,HMDB00641,5961,3364,18
1,A,3,HYPOTAURINE,C(CS(=O)O)N,C2H7NO2S,109.01975,C2H7NO2S,109.01975,110.02755,108.01195,,C00519,300-84-5,16668,HMDB00965,107812,3802,281
1,A,4,INOSINE 5'-PHOSPHATE,C1=NC(=O)C2=C(N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O,C10H13N4O8P,348.0471,C10H13N4O8P,348.04710,349.05490,347.03930,,C00130,131-99-7,17202,HMDB00175,8582,3430,3490
1,A,5,CITRATE,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,C6H8O7,192.02701,C6H8O7,192.02701,193.03481,191.01921,,C00158,77-92-9,30769,HMDB00094,311,3458,124
1,A,6,L-THREONINE,O=C(O)C(N)C(O)C,C4H9NO3,119.05824,C4H9NO3,119.05824,120.06604,118.05044,,CA1381,72-19-5,16857,HMDB00167,6288,3488,32
1,A,7,PURINE,C1=C2C(=NC=N1)N=CN2,C5H4N4,120.0436,C5H4N4,120.04360,121.05140,119.03580,,C00465,120-73-0,17258,HMDB01366,1044,17396579,
1,A,8,N-ACETYLNEURAMINATE,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O,C11H19NO9,309.10598,C11H19NO9,309.10598,310.11378,308.09818,,C00270,131-48-6,17012,HMDB00230,439197,3568,24101
1,A,9,L-KYNURENINE,C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)N,C10H12N2O3,208.08479,C10H12N2O3,208.08479,209.09259,207.07699,,C01718,343-65-7,16946,,161166,3622,72
1,A,10,PYRIMIDINE,n1cccnc1,C4H4N2,80.03745,C4H4N2,80.03745,81.04525,79.02965,,C00396,289-95-2,16898,HMDB03361,9260,3686,58148
